Date;Open;High;Low;Close;Adj Close;Volume
01/11/2002;31,950001;33,900002;31,33;33,290001;18,011887;4301912
01/12/2002;33,049999;33,259998;29,35;30,389999;16,44281;4844806
01/01/2003;30,4;31,49;27,370001;28,65;15,501369;3902833
01/02/2003;28,700001;29,74;26,309999;28,040001;15,17132;3336487
01/03/2003;28,25;30;24,200001;27,809999;15,046875;4554046
01/04/2003;27,6;33,5;27,200001;31,700001;17,151594;4544170
01/05/2003;31,98;35,310001;31,280001;35,310001;20,061638;3901493
01/06/2003;35,349998;36,189999;33,599998;34,189999;19,425303;4740773
01/07/2003;34,299999;35,599998;32,860001;35,470001;20,152546;5267984
01/08/2003;35,25;36,490002;35,009998;35,419998;20,124136;3411885
01/09/2003;35,389999;36,5;32,5;32,700001;18,578745;4254070
01/10/2003;32,75;36,490002;32,349998;36,490002;20,732069;5961118
01/11/2003;36,299999;37,84;35,98;36,5;20,737743;4611441
01/12/2003;36,369999;37,25;35,849998;37,02;21,033186;4340737
01/01/2004;37;45;37;43,880001;24,930746;9321370
01/02/2004;43,98;47,700001;42,860001;45,959999;26,112513;8209828
01/03/2004;44,5;47,66;43,310001;47,599998;27,044292;9710971
01/04/2004;47,5;49,5;46,52;46,889999;26,6409;7509501
01/05/2004;45,900002;47,25;44,259998;46,77;26,572727;6205774
01/06/2004;47;48,349998;45,75;47,290001;27,841949;8125687
01/07/2004;47,16;47,580002;44,799999;46,91;27,618221;4781214
01/08/2004;46,810001;49,599998;46,5;49,5;29,143084;6945786
01/09/2004;49,5;52,900002;49,009998;52,400002;30,850458;6886412
01/10/2004;52,400002;57,700001;52,150002;57,450001;33,823639;7627985
01/11/2004;57;59,549999;54,25;56,049999;32,99939;11753127
01/12/2004;56,049999;59,799999;55,299999;56,5;33,264332;11905419
01/01/2005;56,299999;60,599998;55,450001;59,25;34,883392;17428804
01/02/2005;59,549999;63,700001;59,200001;63,549999;37,415009;15073646
01/03/2005;63,5;68,75;62,200001;65,050003;38,298138;23159977
01/04/2005;65,300003;66,400002;60,599998;61,25;36,06089;12991350
01/05/2005;60,549999;65,900002;60;65,900002;38,798569;10933185
01/06/2005;65,599998;68,5;63,099998;65,300003;39,636021;19201257
01/07/2005;65,300003;67,650002;61,650002;65,75;39,909161;12034385
01/08/2005;66,25;69,900002;65,650002;67,199997;40,789288;10750571
01/09/2005;67,400002;68,849998;65,300003;67,400002;40,910679;13059095
01/10/2005;67,400002;70,449997;65,75;68;41,274872;13291602
01/11/2005;68,300003;74,599998;67,699997;73,75;44,765034;13187530
01/12/2005;73,800003;79,75;73,599998;78,650002;47,739254;10339080
01/01/2006;79;84,5;78,800003;82,650002;50,167183;12420889
01/02/2006;82,550003;89,699997;82,550003;87,599998;53,171749;11402342
01/03/2006;87,599998;92,099998;83,5;88,599998;53,778732;15946116
01/04/2006;89;93,150002;83,75;91,949997;55,812122;11626869
01/05/2006;91,949997;92;79,050003;83,949997;50,956253;16028495
01/06/2006;83,75;86;76;83,900002;52,355076;15117549
01/07/2006;84;85,949997;77,199997;85,300003;53,228691;11217798
01/08/2006;85,199997;90,800003;83,800003;84,050003;52,448677;14136726
01/09/2006;84,449997;85,849998;80,150002;83,050003;51,824661;16428389
01/10/2006;83,599998;89,099998;82,5;85,599998;53,41589;14169551
01/11/2006;85,949997;89;82,650002;84,949997;53,010288;17195394
01/12/2006;85;94,199997;84,550003;92,900002;57,971233;16579145
01/01/2007;93,849998;98,5;93,349998;96,75;60,373692;13605609
01/02/2007;97,75;99,849998;91,959999;91,959999;57,384663;13325449
01/03/2007;92,18;95,5;85,82;93,110001;58,102261;20592453
01/04/2007;92,510002;102,5;92,510002;97,470001;60,82299;15511264
01/05/2007;98;106,239998;97,510002;102,550003;66,171738;17040698
01/06/2007;103,190002;104,5;95,5;100,019997;64,539215;16973842
01/07/2007;99,75;101,800003;92,760002;96,089996;62,003326;13645940
01/08/2007;94,169998;95,5;85,349998;92,019997;59,37711;24880061
01/09/2007;92,059998;97,300003;90,449997;96,480003;62,254986;17039079
01/10/2007;95,800003;101,419998;90,910004;96,699997;62,396957;16635633
01/11/2007;96,400002;96,449997;85,300003;95;61,299992;20069171
01/12/2007;95,029999;97,669998;92,230003;96,199997;62,074318;10754293
01/01/2008;96;96,540001;73,580002;84,989998;54,840912;29553136
01/02/2008;86,349998;88,68;78,730003;83,339996;53,776226;26116931
01/03/2008;81,68;83,989998;73,199997;82,139999;53,001919;20468139
01/04/2008;82,010002;88,449997;81,68;87,139999;56,228226;17154006
01/05/2008;88,389999;90,870003;76,470001;79,309998;53,546467;21050916
01/06/2008;79,589996;80,949997;69,370003;70,529999;49,694252;17901583
01/07/2008;70,010002;72,400002;56;65,559998;46,192455;22851827
01/08/2008;65,400002;70,980003;59,700001;65,07;45,847225;19120618
01/09/2008;64,690002;70,5;47;59,73;42,08474;24632897
01/10/2008;61,349998;67,5;20,6;33,5;23,603529;36827830
01/11/2008;34;35,900002;18,184999;23,6;16,628159;16010168
01/12/2008;23,780001;30,58;21;21,450001;15,113307;13434445
01/01/2009;22,200001;24;6,09;14,325;10,093152;38628958
01/02/2009;14;14,43;8;8,399;5,917793;20441686
01/03/2009;8,05;14,275;5,02;12,19;8,588866;39780854
01/04/2009;12,25;18,684999;11,52;16,915001;11,918022;32112102
01/05/2009;16,915001;24,790001;11,15;14,5;10,216455;52202946
01/06/2009;14,97;15,5;11,17;13;9,159579;24924516
01/07/2009;13,14;15,095;10,01;14,96;10,540562;25730466
01/08/2009;15;29,389999;14,1;26,125;18,407228;54546095
01/09/2009;26,200001;35,490002;23,129999;34,325001;24,184813;36697659
01/10/2009;34,205002;39,939999;26,055;29,32;20,658375;39909942
01/11/2009;28,85;35,685001;26,51;29,639999;20,883842;27700892
01/12/2009;31;33,220001;29,700001;30,375;21,401711;15564567
01/01/2010;30,375;36,040001;29,950001;31,575001;22,24721;22538565
01/02/2010;31,375;33,59;27,9;33,209999;23,399199;20873892
01/03/2010;33,299999;37,400002;32,935001;35,855;25,262827;14846982
01/04/2010;36,029999;38,154999;31,75;34,310001;24,174246;12956306
01/05/2010;34,950001;35,66;26,629999;31,885;22,465628;22666416
01/06/2010;31,690001;34,299999;28,25;31,834999;22,430401;14436534
01/07/2010;31,26;36,525002;30,32;33,900002;23,885366;13594528
01/08/2010;34,669998;36,740002;31,25;32,759998;23,082134;12595994
01/09/2010;32,950001;36,740002;32,200001;32,904999;23,184305;14769258
01/10/2010;32,950001;34,174999;31,120001;31,254999;22,02174;9863388
01/11/2010;31,59;32,52;26,950001;27,025;19,041357;21584442
01/12/2010;27,450001;30,049999;25,309999;25,5;17,966867;14650753
01/01/2011;26,030001;30,370001;22,299999;29,254999;20,612574;25572036
01/02/2011;29,120001;32,860001;28,855;30,299999;21,348867;17962406
01/03/2011;30,35;30,719999;26,200001;26,535;18,696108;19912727
01/04/2011;27;28,799999;26,08;27,52;19,390127;11877286
01/05/2011;27,700001;29,799999;26,26;29,389999;20,707695;16369966
01/06/2011;28,955;29,424999;24,540001;27,1;19,62303;15415839
01/07/2011;27,385;28,09;22,049999;24,68;17,870712;18606038
01/08/2011;25,889999;25,945;17,66;20,299999;14,699168;20472512
01/09/2011;19,459999;19,5;12,545;17,5;12,671698;16593583
01/10/2011;17;19,25;14,415;16,23;11,752092;15330528
01/11/2011;15,545;15,75;7,653;8,3;6,010004;26680626
01/12/2011;8,63;11,75;8,35;9,731;7,046187;25390758
01/01/2012;9,699;16;9;14,495;10,495784;29942029
01/02/2012;14,425;18,745001;13,69;17,73;12,838239;36499346
01/03/2012;17,665001;20,82;16,450001;18,809999;13,620262;36674812
